Entry_Time,Symbol,TF_Combo,Trade_Type,Weekly_Expiry,Future_Price,Sell_Leg,Buy_Leg,Sell_Entry_Price,Buy_Entry_Price,Net_Credit_Received,Stop_Loss,Take_Profit_Target
2025-07-29 10:27,NIFTY,3min/15min,Bear Call Spread,2025-07-31,24655.1,24650 CE,24750 CE,101.35,60.2,41.15,116.55,12.34
2025-07-29 10:45,NIFTY,3min/15min,Bear Call Spread,2025-07-31,24650.0,24650 CE,24750 CE,103.2,61.75,41.45,118.68,12.44
2025-07-29 13:33,NIFTY,3min/15min,Bull Put Spread,2025-07-31,24780.0,24800 PE,24700 PE,98.25,53.55,44.7,112.99,13.41
2025-07-30 11:27,NIFTY,3min/15min,Bull Put Spread,2025-07-31,24908.9,24900 PE,24800 PE,76.6,35.4,41.2,88.09,12.36
2025-07-30 12:54,NIFTY,3min/15min,Bull Put Spread,2025-07-31,24880.9,24900 PE,24800 PE,72.8,31.8,41.0,83.72,12.3
2025-07-31 12:15,NIFTY,3min/15min,Bull Put Spread,2025-07-31,24823.1,24800 PE,24700 PE,30.7,9.3,21.4,35.3,6.42
2025-07-31 15:03,NIFTY,3min/15min,Bear Call Spread,2025-07-31,24781.0,24800 CE,24900 CE,6.5,0.35,6.15,7.47,1.84
2025-07-31 15:24,NIFTY,3min/15min,Bear Call Spread,2025-07-31,24766.2,24750 CE,24850 CE,18.65,0.1,18.55,21.45,5.57
2025-08-01 11:30,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24756.6,24750 CE,24850 CE,122.75,83.75,39.0,141.16,11.7
2025-08-01 12:03,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24717.5,24700 CE,24800 CE,131.75,91.75,40.0,151.51,12.0
2025-08-01 13:54,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24715.9,24700 CE,24800 CE,130.4,88.75,41.65,149.96,12.49
2025-08-01 14:24,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24690.5,24700 CE,24800 CE,118.55,79.45,39.1,136.33,11.73
2025-08-01 14:57,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24680.0,24700 CE,24800 CE,109.05,72.6,36.45,125.41,10.94
2025-08-06 10:03,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24678.0,24700 CE,24800 CE,50.6,25.1,25.5,58.19,7.65
2025-08-06 11:09,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24625.0,24600 CE,24700 CE,61.8,30.25,31.55,71.07,9.46
2025-08-06 14:30,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24634.6,24650 CE,24750 CE,38.75,16.2,22.55,44.56,6.76
2025-08-07 09:57,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24558.0,24550 CE,24650 CE,24.15,8.85,15.3,27.77,4.59
2025-08-07 10:30,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24505.0,24500 CE,24600 CE,18.15,7.25,10.9,20.87,3.27
2025-08-07 13:09,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24467.0,24450 CE,24550 CE,13.4,3.25,10.15,15.41,3.04
2025-08-07 13:24,NIFTY,3min/15min,Bear Call Spread,2025-08-07,24436.9,24450 CE,24550 CE,6.7,2.55,4.15,7.7,1.25
2025-08-07 14:36,NIFTY,3min/15min,Bull Put Spread,2025-08-07,24576.0,24600 PE,24500 PE,108.85,27.2,81.65,125.18,24.5
2025-08-07 15:03,NIFTY,3min/15min,Bull Put Spread,2025-08-07,24671.9,24650 PE,24550 PE,88.25,5.5,82.75,101.49,24.82
2025-08-08 10:48,NIFTY,3min/15min,Bear Call Spread,2025-08-14,24495.4,24500 CE,24600 CE,116.05,76.0,40.05,133.46,12.01
2025-08-08 12:03,NIFTY,3min/15min,Bear Call Spread,2025-08-14,24487.0,24500 CE,24600 CE,107.15,69.85,37.3,123.22,11.19
2025-08-08 14:12,NIFTY,3min/15min,Bear Call Spread,2025-08-14,24490.8,24500 CE,24600 CE,99.85,64.8,35.05,114.83,10.51
2025-08-08 14:27,NIFTY,3min/15min,Bear Call Spread,2025-08-14,24472.6,24450 CE,24550 CE,123.4,81.1,42.3,141.91,12.69
2025-08-11 10:15,NIFTY,3min/15min,Bull Put Spread,2025-08-14,24500.0,24500 PE,24400 PE,151.65,100.95,50.7,174.4,15.21
2025-08-11 11:21,NIFTY,3min/15min,Bull Put Spread,2025-08-14,24539.0,24550 PE,24450 PE,149.6,97.85,51.75,172.04,15.52
2025-08-11 13:00,NIFTY,3min/15min,Bull Put Spread,2025-08-14,24574.1,24550 PE,24450 PE,127.05,81.0,46.05,146.11,13.81
2025-08-11 14:03,NIFTY,3min/15min,Bull Put Spread,2025-08-14,24602.0,24600 PE,24500 PE,134.4,85.7,48.7,154.56,14.61
2025-08-12 09:45,NIFTY,3min/15min,Bull Put Spread,2025-08-14,24704.0,24700 PE,24600 PE,111.95,64.85,47.1,128.74,14.13
